Year,Company,Region,Crop,Season,Area_Hectares,Production_Tonnes,Yield_Tonnes_Per_Hectare,Rainfall_mm,Temperature_C,Fertilizer_Cost,Pesticide_Cost,Irrigation_Cost,Labor_Cost,Storage_Transport_Cost,Total_Cost,Cost_Per_Hectare,Selling_Price_Per_Tonne,Revenue,Profit,Profit_Margin
2018,Bindisa Agriculture Private Limited,Maharashtra,Cotton,Kharif,886,1541.64,1.74,997,28.6,5172468.0,3349966.0,3618424.0,6523618.0,2145962.88,20810438.88,23488.08,62904.05,96975399.64,76164960.76,78.54
2018,Bindisa Agriculture Private Limited,Maharashtra,Mustard,Rabi,215,311.75,1.45,1084,24.4,1729030.0,524600.0,786685.0,2532485.0,420239.0,5993039.0,27874.6,54205.49,16898561.51,10905522.51,64.54
2018,Bindisa Agriculture Private Limited,Maharashtra,Sugarcane,Annual,915,62046.15,67.81,1177,30.9,7191900.0,4202595.0,5697705.0,7194645.0,60805227.0,85092072.0,92996.8,3238.47,200934595.39,115842523.39,57.65
2018,Bindisa Agriculture Private Limited,Maharashtra,Groundnut,Kharif,467,854.61,1.83,1072,25.6,2895400.0,1497202.0,3095743.0,4284725.0,1191326.34,12964396.34,27761.02,54714.91,46759909.24,33795512.9,72.27
2018,Bindisa Agriculture Private Limited,Rajasthan,Wheat,Rabi,829,2644.51,3.19,436,28.5,5021253.0,2141307.0,2705027.0,7044842.0,2705333.73,19617762.73,23664.37,22995.08,60810719.01,41192956.28,67.74
2018,Bindisa Agriculture Private Limited,Rajasthan,Rice,Kharif,591,1950.3,3.3,532,27.1,4307799.0,1455633.0,2299581.0,5957871.0,2018560.5,16039444.5,27139.5,29867.59,58250760.78,42211316.28,72.46
2018,Bindisa Agriculture Private Limited,Rajasthan,Soybean,Kharif,732,936.96,1.28,412,37.5,3514332.0,1860012.0,2528328.0,9043860.0,818903.04,17765435.04,24269.72,44081.41,41302517.91,23537082.87,56.99
2018,Bindisa Agriculture Private Limited,Rajasthan,Maize,Kharif,757,2149.88,2.84,429,29.3,4945481.0,2527623.0,4625270.0,5073414.0,1790850.04,18962638.04,25049.72,21170.17,45513325.08,26550687.04,58.34
2018,Bindisa Agriculture Private Limited,Rajasthan,Cotton,Kharif,886,1453.04,1.64,593,26.4,4427342.0,3393380.0,5477252.0,6297688.0,1235084.0,20830746.0,23511.0,60795.44,88338206.14,67507460.14,76.42
2018,Bindisa Agriculture Private Limited,Rajasthan,Mustard,Rabi,445,547.35,1.23,648,35.0,3005975.0,1935750.0,1766205.0,3776270.0,634926.0,11119126.0,24986.8,48951.28,26793483.11,15674357.11,58.5
2018,Bindisa Agriculture Private Limited,Rajasthan,Sugarcane,Annual,830,53535.0,64.5,607,36.5,6140340.0,3556550.0,4580770.0,9325880.0,60066270.0,83669810.0,100807.0,3154.79,168891682.65,85221872.65,50.46
2018,Bindisa Agriculture Private Limited,Rajasthan,Groundnut,Kharif,534,1116.06,2.09,597,24.5,3841062.0,1347282.0,1930944.0,5416362.0,726555.06,13262205.06,24835.59,63233.85,70572770.63,57310565.57,81.21
2018,Bindisa Agriculture Private Limited,Gujarat,Wheat,Rabi,373,1465.89,3.93,589,29.8,2932526.0,1475588.0,2152210.0,3051886.0,1256267.73,10868477.73,29138.01,26576.74,38958577.4,28090099.67,72.1
2018,Bindisa Agriculture Private Limited,Gujarat,Rice,Kharif,271,983.73,3.63,503,33.6,1459606.0,961508.0,1096195.0,2899429.0,888308.19,7305046.19,26955.89,25536.65,25121168.7,17816122.51,70.92
2018,Bindisa Agriculture Private Limited,Gujarat,Soybean,Kharif,629,1113.33,1.77,922,31.6,4226251.0,1746733.0,4423757.0,6464233.0,904023.96,17764997.96,28243.24,44244.12,49258306.12,31493308.16,63.94
2018,Bindisa Agriculture Private Limited,Gujarat,Maize,Kharif,800,2672.0,3.34,933,32.5,4880000.0,2172000.0,5269600.0,6421600.0,2781552.0,21524752.0,26905.94,24130.24,64476001.28,42951249.28,66.62
2018,Bindisa Agriculture Private Limited,Gujarat,Cotton,Kharif,520,748.8,1.44,577,29.9,2739880.0,1531400.0,2232360.0,5166720.0,907545.6,12577905.6,24188.28,68587.52,51358334.98,38780429.38,75.51
2018,Bindisa Agriculture Private Limited,Gujarat,Mustard,Rabi,402,482.4,1.2,476,33.9,2866662.0,1149318.0,2873496.0,3845934.0,630979.2,11366389.2,28274.6,52827.89,25484174.14,14117784.94,55.4
2018,Bindisa Agriculture Private Limited,Gujarat,Sugarcane,Annual,311,21418.57,68.87,498,20.8,2178555.0,1375864.0,1141059.0,3092584.0,24995471.19,32783533.19,105413.29,3271.74,70075992.21,37292459.02,53.22
2018,Bindisa Agriculture Private Limited,Gujarat,Groundnut,Kharif,864,1218.24,1.41,486,36.2,4302720.0,2165184.0,4985280.0,6219936.0,931953.6,18605073.6,21533.65,54587.61,66500810.01,47895736.41,72.02
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Wheat,Rabi,280,1064.0,3.8,905,28.5,1836240.0,1263640.0,887320.0,3343760.0,1420440.0,8751400.0,31255.0,22353.09,23783687.76,15032287.76,63.2
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Rice,Kharif,407,1811.15,4.45,991,26.3,2986159.0,1346763.0,2709399.0,2964588.0,1363795.95,11370704.95,27937.85,29773.62,53924491.86,42553786.91,78.91
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Soybean,Kharif,930,1832.1,1.97,895,26.3,7073580.0,2266410.0,4130130.0,10709880.0,1936529.7,26116529.7,28082.29,46658.34,85482744.71,59366215.01,69.45
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Maize,Kharif,625,2268.75,3.63,1040,28.8,4480000.0,2786875.0,4434375.0,5750625.0,2541000.0,19992875.0,31988.6,20153.67,45723638.81,25730763.81,56.27
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Cotton,Kharif,473,851.4,1.8,971,27.7,2294050.0,1170202.0,2772253.0,3617504.0,680268.6,10534277.6,22271.2,64478.97,54897395.06,44363117.46,80.81
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Mustard,Rabi,461,769.87,1.67,954,20.7,2709297.0,2024251.0,2424860.0,4436664.0,940011.27,12535083.27,27191.07,48831.51,37593914.6,25058831.33,66.66
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Sugarcane,Annual,124,8879.64,71.61,752,21.5,958644.0,241304.0,863536.0,1359660.0,11410337.4,14833481.4,119624.85,3521.8,31272316.15,16438834.75,52.57
2018,Bindisa Agriculture Private Limited,Uttar Pradesh,Groundnut,Kharif,778,1680.48,2.16,794,27.0,4575418.0,3013972.0,3087882.0,5632720.0,1887179.04,18197171.04,23389.68,62819.83,105567467.92,87370296.88,82.76
2018,Bindisa Agriculture Private Limited,Punjab,Wheat,Rabi,910,3084.9,3.39,576,32.2,5351710.0,2305030.0,2831920.0,8507590.0,2298250.5,21294500.5,23400.55,24739.92,76320179.21,55025678.71,72.1
2018,Bindisa Agriculture Private Limited,Punjab,Rice,Kharif,679,2261.07,3.33,538,31.6,5529097.0,2113048.0,4528930.0,7672021.0,2478132.72,22321228.72,32873.68,28163.75,63680210.21,41358981.49,64.95
2018,Bindisa Agriculture Private Limited,Punjab,Soybean,Kharif,366,545.34,1.49,525,29.9,2912262.0,1150338.0,2092788.0,4247064.0,405187.62,10807639.62,29529.07,46124.46,25153513.02,14345873.4,57.03
2018,Bindisa Agriculture Private Limited,Punjab,Maize,Kharif,572,2162.16,3.78,653,20.3,4111536.0,1401400.0,2422420.0,6811376.0,1952430.48,16699162.48,29194.34,22119.84,47826633.25,31127470.77,65.08
2018,Bindisa Agriculture Private Limited,Punjab,Cotton,Kharif,142,252.76,1.78,699,30.8,1086158.0,623238.0,600802.0,1322872.0,246188.24,3879258.24,27318.72,65749.27,16618785.49,12739527.25,76.66
2018,Bindisa Agriculture Private Limited,Punjab,Mustard,Rabi,135,210.6,1.56,729,36.5,768825.0,554445.0,829710.0,992385.0,276517.8,3421882.8,25347.28,54007.83,11374049.0,7952166.2,69.91
2018,Bindisa Agriculture Private Limited,Punjab,Sugarcane,Annual,794,68212.54,85.91,829,22.2,5110184.0,2533654.0,5171322.0,6007404.0,82196110.7,101018674.7,127227.55,3201.9,218409731.83,117391057.13,53.75
2018,Bindisa Agriculture Private Limited,Punjab,Groundnut,Kharif,131,199.12,1.52,544,26.6,727443.0,521642.0,703994.0,1230876.0,147149.68,3331104.68,25428.28,54889.78,10929652.99,7598548.31,69.52
2018,Bindisa Agriculture Private Limited,Haryana,Wheat,Rabi,721,2004.38,2.78,464,24.9,4649729.0,2462936.0,4142866.0,4983552.0,2054489.5,18293572.5,25372.5,25721.18,51555018.77,33261446.27,64.52
2018,Bindisa Agriculture Private Limited,Haryana,Rice,Kharif,396,1690.92,4.27,598,29.6,3075732.0,1639044.0,2132856.0,3018312.0,2024031.24,11889975.24,30025.19,27771.63,46959604.6,35069629.36,74.68
2018,Bindisa Agriculture Private Limited,Haryana,Soybean,Kharif,215,296.7,1.38,501,35.2,1364820.0,908590.0,1185510.0,2465620.0,273557.4,6198097.4,28828.36,43157.19,12804738.27,6606640.87,51.6
2018,Bindisa Agriculture Private Limited,Haryana,Maize,Kharif,715,2509.65,3.51,717,26.8,5641350.0,2948660.0,2141425.0,7629765.0,2293820.1,20655020.1,28888.14,21565.48,54121806.88,33466786.78,61.84
2018,Bindisa Agriculture Private Limited,Haryana,Cotton,Kharif,837,1171.8,1.4,572,36.6,5181030.0,1709991.0,4804380.0,9199467.0,789793.2,21684661.2,25907.6,63972.51,74962987.22,53278326.02,71.07
2018,Bindisa Agriculture Private Limited,Haryana,Mustard,Rabi,588,752.64,1.28,402,33.9,4090128.0,1743420.0,3282216.0,5758872.0,965637.12,15840273.12,26939.24,51363.97,38658578.38,22818305.26,59.03
2018,Bindisa Agriculture Private Limited,Haryana,Sugarcane,Annual,334,23213.0,69.5,570,26.1,2483290.0,952902.0,1716426.0,3281216.0,20404227.0,28838061.0,86341.5,3064.06,71126024.78,42287963.78,59.45
2018,Bindisa Agriculture Private Limited,Haryana,Groundnut,Kharif,772,1351.0,1.75,517,21.3,5775332.0,2406324.0,3196080.0,7516192.0,1446921.0,20340849.0,26348.25,63115.4,85268905.4,64928056.4,76.15
2018,Bindisa Agriculture Private Limited,Karnataka,Wheat,Rabi,615,2589.15,4.21,914,26.5,3265650.0,1301340.0,2413260.0,4707825.0,1861598.85,13549673.85,22031.99,25579.2,66228385.68,52678711.83,79.54
2018,Bindisa Agriculture Private Limited,Karnataka,Rice,Kharif,906,4484.7,4.95,994,26.6,4994778.0,3425586.0,5619012.0,9634404.0,3475642.5,27149422.5,29966.25,28514.57,127879292.08,100729869.58,78.77
2018,Bindisa Agriculture Private Limited,Karnataka,Soybean,Kharif,772,1690.68,2.19,769,30.0,4056860.0,2106016.0,2697368.0,6086448.0,1098942.0,16045634.0,20784.5,44512.8,75256900.7,59211266.7,78.68
2018,Bindisa Agriculture Private Limited,Karnataka,Maize,Kharif,467,1713.89,3.67,739,27.0,2625941.0,1320676.0,1276311.0,4018535.0,2065237.45,11306700.45,24211.35,24753.04,42423987.73,31117287.28,73.35
2018,Bindisa Agriculture Private Limited,Karnataka,Cotton,Kharif,292,534.36,1.83,698,20.8,2222412.0,920384.0,1124200.0,3585176.0,631079.16,8483251.16,29052.23,57448.93,30698410.23,22215159.07,72.37
2018,Bindisa Agriculture Private Limited,Karnataka,Mustard,Rabi,166,245.68,1.48,782,23.8,1028536.0,393420.0,656198.0,1540978.0,247399.76,3866531.76,23292.36,51522.47,12658040.43,8791508.67,69.45
2018,Bindisa Agriculture Private Limited,Karnataka,Sugarcane,Annual,787,60520.3,76.9,922,24.9,3847643.0,1919493.0,4233273.0,9022168.0,41759007.0,60781584.0,77232.0,3191.72,193163851.92,132382267.92,68.53
2018,Bindisa Agriculture Private Limited,Karnataka,Groundnut,Kharif,621,1328.94,2.14,694,24.9,4538268.0,1753704.0,3450276.0,5018301.0,1589412.24,16349961.24,26328.44,61093.66,81189808.52,64839847.28,79.86
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Wheat,Rabi,713,2538.28,3.56,1020,32.7,5436885.24,1422367.26,4076360.03,5436885.24,2261607.48,18634105.25,26134.79,25866.24,65655759.67,47021654.42,71.62
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Rice,Kharif,124,623.72,5.03,768,27.2,906152.94,275098.34,875701.64,1533708.88,834537.36,4425199.16,35687.09,32023.09,19973441.69,15548242.53,77.84
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Soybean,Kharif,729,1428.84,1.96,754,27.3,5843044.35,1841282.68,5462903.65,6475342.5,1940364.72,21562937.9,29578.79,49592.97,70860419.25,49297481.35,69.57
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Maize,Kharif,890,3186.2,3.58,1086,30.2,5127365.65,1843359.1,4322872.4,9901312.3,4250390.8,25445300.25,28590.22,23986.81,76426774.02,50981473.77,66.71
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Cotton,Kharif,565,887.05,1.57,1098,31.8,4098730.35,2051136.45,1682120.82,4235118.52,964223.35,13031329.49,23064.3,69967.37,62064555.56,49033226.07,79.0
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Mustard,Rabi,425,667.25,1.57,917,34.3,3480607.62,1182260.75,1975468.0,4982638.38,635222.0,12256196.75,28838.11,53429.19,35650627.03,23394430.28,65.62
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Sugarcane,Annual,348,29858.4,85.8,990,31.2,2527437.0,968426.58,1428820.14,2857640.28,32366505.6,40148829.6,115370.2,3824.09,114181208.86,74032379.26,64.84
2019,Bindisa Agriculture Private Limited,Madhya Pradesh,Groundnut,Kharif,427,999.18,2.34,898,29.0,2596525.08,1089210.81,2577784.05,3849943.02,781358.76,10894821.72,25514.8,63507.3,63455224.01,52560402.29,82.83
2019,Bindisa Agriculture Private Limited,Maharashtra,Wheat,Rabi,257,938.05,3.65,783,34.7,1792671.37,528535.92,1394658.04,3241310.98,801094.7,7758271.01,30187.82,23976.7,22491343.43,14733072.42,65.51
2019,Bindisa Agriculture Private Limited,Maharashtra,Rice,Kharif,162,673.92,4.16,710,22.3,1175211.18,659215.26,1023358.05,1252576.71,679985.28,4790346.48,29570.04,31110.12,20965732.07,16175385.59,77.15
2019,Bindisa Agriculture Private Limited,Maharashtra,Soybean,Kharif,400,728.0,1.82,794,35.3,2286878.0,1617242.0,2824008.0,4021996.0,765856.0,11515980.0,28789.95,47874.95,34852963.6,23336983.6,66.96
2019,Bindisa Agriculture Private Limited,Maharashtra,Maize,Kharif,585,1737.45,2.97,1133,21.6,4328181.0,1481240.47,3052345.72,5879112.52,2076252.75,16817132.46,28747.23,21572.08,37480410.4,20663277.94,55.13
2019,Bindisa Agriculture Private Limited,Maharashtra,Cotton,Kharif,849,1409.34,1.66,672,21.6,6264554.5,3713840.13,6034768.41,8320208.49,982309.98,25315681.51,29818.23,59829.49,84320093.44,59004411.93,69.98
2019,Bindisa Agriculture Private Limited,Maharashtra,Mustard,Rabi,145,230.55,1.59,856,21.5,987185.37,333658.05,490637.95,993246.37,317006.25,3121733.99,21529.2,51266.89,11819581.49,8697847.5,73.59
2019,Bindisa Agriculture Private Limited,Maharashtra,Sugarcane,Annual,147,12909.54,87.82,677,28.1,817999.88,496944.52,652249.29,1139516.07,18060446.46,21167156.22,143994.26,3706.85,47853728.35,26686572.13,55.77
2019,Bindisa Agriculture Private Limited,Maharashtra,Groundnut,Kharif,627,1385.67,2.21,873,27.8,5167025.49,2040994.72,4704443.7,5618468.62,1888668.21,19419600.74,30972.25,60513.91,83852309.67,64432708.93,76.84
2019,Bindisa Agriculture Private Limited,Rajasthan,Wheat,Rabi,392,1152.48,2.94,530,21.6,2185839.04,1676246.88,2538129.44,4007508.12,776771.52,11184495.0,28531.88,26569.81,30621174.63,19436679.63,63.47
2019,Bindisa Agriculture Private Limited,Rajasthan,Rice,Kharif,186,617.52,3.32,532,28.7,954356.7,659497.41,1284202.59,1743887.64,779310.24,5421254.58,29146.53,28963.83,17885744.3,12464489.72,69.69
2019,Bindisa Agriculture Private Limited,Rajasthan,Soybean,Kharif,401,737.84,1.84,619,30.0,2378499.42,1629666.0,2686916.54,4168659.66,692093.92,11555835.54,28817.54,40012.65,29522933.68,17967098.14,60.86
2019,Bindisa Agriculture Private Limited,Rajasthan,Maize,Kharif,396,1132.56,2.86,497,26.4,3182275.8,1778184.54,2621549.7,3877493.4,890192.16,12349695.6,31186.1,21326.71,24153778.68,11804083.08,48.87
2019,Bindisa Agriculture Private Limited,Rajasthan,Cotton,Kharif,362,543.0,1.5,330,27.2,2287141.34,720642.45,1160215.43,4672259.79,393132.0,9233391.01,25506.6,71295.67,38713548.81,29480157.8,76.15
2019,Bindisa Agriculture Private Limited,Rajasthan,Mustard,Rabi,765,887.4,1.16,417,24.5,4593496.05,3614200.42,5507238.82,5872576.05,1210413.6,20797924.94,27186.83,55200.55,48984968.07,28187043.13,57.54
2019,Bindisa Agriculture Private Limited,Rajasthan,Sugarcane,Annual,554,31661.1,57.15,472,33.5,3439423.13,2147830.3,1923784.39,3892725.32,37391759.1,48795522.24,88078.56,3322.04,105179440.64,56383918.4,53.61
2019,Bindisa Agriculture Private Limited,Rajasthan,Groundnut,Kharif,678,1098.36,1.62,300,30.7,4696004.28,2704382.67,4841957.34,6040756.26,997310.88,19280411.43,28437.19,53920.4,59224010.54,39943599.11,67.44
2019,Bindisa Agriculture Private Limited,Gujarat,Wheat,Rabi,809,2499.81,3.09,459,29.6,6547661.72,3347803.8,5337041.76,6863843.19,2424815.7,24521166.17,30310.46,23588.78,58967468.13,34446301.96,58.42
2019,Bindisa Agriculture Private Limited,Gujarat,Rice,Kharif,448,2029.44,4.53,722,22.0,3201278.08,1412906.88,1968144.64,4928320.32,1796054.4,13306704.32,29702.47,29256.31,59373925.77,46067221.45,77.59
2019,Bindisa Agriculture Private Limited,Gujarat,Soybean,Kharif,495,831.6,1.68,908,36.4,3295041.75,2307046.5,3098994.52,4896007.88,1015383.6,14612474.25,29520.15,48068.43,39973706.39,25361232.14,63.44
2019,Bindisa Agriculture Private Limited,Gujarat,Maize,Kharif,898,3421.38,3.81,810,33.1,5737438.74,2462387.84,5159378.18,6171922.57,3623241.42,23154368.75,25784.38,25512.71,87288675.74,64134306.99,73.47
2019,Bindisa Agriculture Private Limited,Gujarat,Cotton,Kharif,720,1296.0,1.8,686,30.3,5013241.2,2421223.2,4662622.8,7721128.8,1666656.0,21484872.0,29840.1,63254.68,81978065.28,60493193.28,73.79
2019,Bindisa Agriculture Private Limited,Gujarat,Mustard,Rabi,142,167.56,1.18,512,28.8,897462.72,356432.78,984270.87,1260869.83,211963.4,3710999.6,26133.8,51183.75,8576349.15,4865349.55,56.73
2019,Bindisa Agriculture Private Limited,Gujarat,Sugarcane,Annual,158,12595.76,79.72,884,27.6,990990.22,743160.11,765284.85,1151972.47,11084268.8,14735676.45,93263.77,3572.97,45004272.61,30268596.16,67.26
2019,Bindisa Agriculture Private Limited,Gujarat,Groundnut,Kharif,276,471.96,1.71,487,33.2,1658415.0,1221747.12,1396818.06,2637600.9,552665.16,7467246.24,27055.24,59612.92,28134913.72,20667667.48,73.46
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Wheat,Rabi,237,902.97,3.81,943,29.4,1659355.5,1031029.39,1443391.62,2530888.63,821702.7,7486367.84,31588.05,25506.33,23031450.8,15545082.96,67.5
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Rice,Kharif,443,1789.72,4.04,981,33.5,3459976.19,1784614.42,1570738.45,3858100.29,1668019.04,12341448.39,27858.8,28851.91,51636840.37,39295391.98,76.1
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Soybean,Kharif,130,240.5,1.85,903,35.9,748669.35,539324.5,463791.9,929893.25,228715.5,2910394.5,22387.65,45877.74,11033596.47,8123201.97,73.62
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Maize,Kharif,337,1085.14,3.22,790,22.4,2760973.6,1246311.93,1206869.45,3250482.95,1203420.26,9668058.19,28688.6,21437.87,23263090.25,13595032.06,58.44
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Cotton,Kharif,443,704.37,1.59,782,36.1,3692832.49,1158726.3,2800293.81,5374212.42,493059.0,13519124.02,30517.21,69456.03,48922743.85,35403619.83,72.37
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Mustard,Rabi,415,581.0,1.4,946,36.2,3322384.17,1533474.8,2635009.3,4300754.97,738451.0,12530074.24,30192.95,50683.04,29446846.24,16916772.0,57.45
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Sugarcane,Annual,944,68940.32,73.03,650,35.2,5657462.8,3782164.32,5236235.84,9866772.96,66044826.56,90587462.48,95961.29,3392.44,233875899.18,143288436.7,61.27
2019,Bindisa Agriculture Private Limited,Uttar Pradesh,Groundnut,Kharif,555,1126.65,2.03,962,20.1,3116785.65,2430675.22,1818801.6,4712296.88,815694.6,12894253.95,23232.89,65135.76,73385204.0,60490950.05,82.43
2019,Bindisa Agriculture Private Limited,Punjab,Wheat,Rabi,329,1204.14,3.66,796,27.9,1951093.37,915208.91,1308178.02,3870900.49,811590.36,8856971.15,26920.88,25572.59,30792978.52,21936007.37,71.24
2019,Bindisa Agriculture Private Limited,Punjab,Rice,Kharif,829,4178.16,5.04,793,25.5,5026301.61,2218607.1,4602678.46,7539452.41,4671182.88,24058222.46,29020.77,29942.88,125106143.5,101047921.04,80.77
2019,Bindisa Agriculture Private Limited,Punjab,Soybean,Kharif,203,397.88,1.96,810,22.6,1553464.6,633435.11,917271.74,2541165.17,481434.8,6126771.42,30181.14,42832.74,17042290.59,10915519.17,64.05
2019,Bindisa Agriculture Private Limited,Punjab,Maize,Kharif,855,2855.7,3.34,590,27.0,5138374.72,2342691.45,5351021.77,7665122.02,3766668.3,24263878.26,28378.8,21885.36,62498022.55,38234144.29,61.18
2019,Bindisa Agriculture Private Limited,Punjab,Cotton,Kharif,548,849.4,1.55,735,34.6,3188570.88,2598158.42,3239537.62,6178428.74,977659.4,16182355.06,29529.85,65241.44,55416079.14,39233724.08,70.8
2019,Bindisa Agriculture Private Limited,Punjab,Mustard,Rabi,233,344.84,1.48,671,29.8,1636219.2,475769.69,993662.28,2045517.48,279665.24,5430833.89,23308.3,53290.82,18376806.37,12945972.48,70.45
2019,Bindisa Agriculture Private Limited,Punjab,Sugarcane,Annual,206,13352.92,64.82,504,22.7,1696112.33,588117.64,1508612.16,2003302.62,14581388.64,20377533.39,98920.07,3521.65,47024310.72,26646777.33,56.67
2019,Bindisa Agriculture Private Limited,Punjab,Groundnut,Kharif,447,773.31,1.73,503,25.9,3700485.03,1488695.5,2215526.44,5468515.3,562196.37,13435418.64,30056.86,61019.0,47186602.89,33751184.25,71.53
2019,Bindisa Agriculture Private Limited,Haryana,Wheat,Rabi,933,3797.31,4.07,749,27.0,7132990.26,2738732.86,3336398.67,7256813.35,2491035.36,22955970.5,24604.47,26316.77,99932933.89,76976963.39,77.03
2019,Bindisa Agriculture Private Limited,Haryana,Rice,Kharif,792,2233.44,2.82,500,34.8,4729134.96,2872738.44,3234417.12,8836712.28,2597490.72,22270493.52,28119.31,32488.47,72561048.44,50290554.92,69.31
2019,Bindisa Agriculture Private Limited,Haryana,Soybean,Kharif,828,1299.96,1.57,360,24.5,4559920.2,1985771.7,3595155.3,6319859.04,1176463.8,17637170.04,21300.93,45270.36,58849657.19,41212487.15,70.03
2019,Bindisa Agriculture Private Limited,Haryana,Maize,Kharif,345,1097.1,3.18,402,25.2,2776403.02,1185045.67,1932774.52,3309258.97,776746.8,9980228.98,28928.2,25445.37,27916115.43,17935886.45,64.25
2019,Bindisa Agriculture Private Limited,Haryana,Cotton,Kharif,247,348.27,1.41,573,27.4,1903081.89,624638.3,1341939.89,2718725.29,308567.22,6896952.59,27922.88,64696.77,22531944.09,15634991.5,69.39
2019,Bindisa Agriculture Private Limited,Haryana,Mustard,Rabi,320,448.0,1.4,595,31.3,2512347.2,782830.4,1563654.4,3236992.0,564032.0,8659856.0,27062.05,51691.23,23157671.04,14497815.04,62.6
2019,Bindisa Agriculture Private Limited,Haryana,Sugarcane,Annual,194,12836.98,66.17,675,36.0,1252668.67,393296.2,948979.13,2492768.08,10295257.96,15382970.04,79293.66,3515.55,45129045.04,29746075.0,65.91
2019,Bindisa Agriculture Private Limited,Haryana,Groundnut,Kharif,707,1053.43,1.49,436,21.9,5078614.31,1880284.17,5070487.34,5252235.83,965995.31,18247616.96,25809.92,61403.96,64684773.58,46437156.62,71.79
